ID,Internal Name ,Category,Display Name,Description,Priority Tier,Dev Description
41,cxr_hyperinflation,Paper,CXR: Hyperinflation (Flat Diaphragm),Strong confirmation of COPD.,Medium,
42,liver_enzymes_elevated,Paper,Liver Enzymes (AST/ALT): Elevated,Indicates liver congestion (Right HF) or failure.,Medium,
43,platelets_low,Paper,Platelets: Low,Strong indicator of Liver failure (spleen sequestration).,Medium,
44,bp_high,Paper,Blood Pressure: High,Contextual cause of stiff heart (Diastolic HF).,Low,
45,missed_dialysis,Dialogue,Missed Dialysis Session,Immediate admission of Kidney failure exacerbation.,High,
46,resp_distress_nonverbal,Dialogue,Severe Respiratory Distress (Nods only),Patient is too hypoxic to speak; critical emergency.,High,
47,altered_mental_status,Dialogue,Altered Mental Status (Confusion),Strong indicator of High Ammonia (Liver).,Medium,
48,angina_chest_tightness,Dialogue,Angina / Chest Tightness,Indicates cardiac ischemia driving the failure.,Medium,
49,metallic_taste,Dialogue,Dysgeusia (Metallic taste in mouth),Classic subjective symptom of Uremia (Kidneys).,Medium,
50,orthopnea,Dialogue,Orthopnea (Needs multiple pillows),Classic subjective sign of fluid in lungs.,Medium,
51,out_of_resp_medication,Dialogue,Out of Respiratory Medication,Strong indicator of COPD flare-up.,Medium,
52,pnd,Dialogue,Paroxysmal Nocturnal Dyspnea (PND),Waking up gasping; classic Left HF.,Medium,
53,rapid_weight_gain,Dialogue,Rapid Fluid Weight Gain,Strong subjective evidence of fluid retention.,Medium,
54,impending_doom,Dialogue,Sense of Impending Doom / Anxiety,Patient senses their own critical hypoxia.,Medium,
55,orthopnea_severe,Dialogue,Severe Orthopnea (Sleeps in recliner),Advanced gravity-dependent fluid management.,Medium,
56,subjective_suffocation,Dialogue,Subjective Suffocation (Drowning),Subjective description of Pulmonary Edema.,Medium,
57,uremic_pruritus,Dialogue,Uremic Pruritus (Severe skin itching),Classic subjective symptom of Kidney failure.,Medium,
58,high_sodium_intake,Dialogue,Dietary Indiscretion (High Sodium),Trigger for fluid retention.,Low,
59,early_satiety,Dialogue,Early Satiety (Abdominal Fullness),Gut edema making the patient feel full quickly.,Low,
60,easy_bruising,Dialogue,Easy Bruising,Vague sign of poor clotting (Liver).,Low,
61,exercise_intolerance,Dialogue,Exercise Intolerance (Winded easily),Broad symptom of low cardiac output.,Low,
62,hx_diabetes,Dialogue,History of Diabetes Mellitus,Comorbidity/Risk factor.,Low,
63,hx_alcohol_use,Dialogue,History of Heavy Alcohol Use,Risk factor for Liver Cirrhosis.,Low,
64,hx_smoking,Dialogue,History of Heavy Smoking,Risk factor for COPD.,Low,
65,hx_mi,Dialogue,History of Myocardial Infarction,Previous heart attack explains a weak pump now.,Low,
66,med_noncompliance,Dialogue,Medication Non-Compliance,Explains why the flare-up is happening.,Low,
67,productive_cough,Dialogue,Productive Cough (Clear/White),Background context for chronic lung disease.,Low,
68,severe_fatigue,Dialogue,Severe Fatigue,Vague symptom of low cardiac output.,Low,
69,peripheral_edema_subjective,Dialogue,Subjective Peripheral Edema,"""Shoes/rings don't fit"" (Provides reason to check visuals).",Low,
